title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Memory Clock Speed,tech_Hard Drive Size,tech_Hard Disk Description,tech_Audio Details,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Optical Drive Type,tech_Rear Webcam Resolution,tech_Power Source,tech_Operating System,tech_Average Battery Standby Life (in hours),tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Package Dimensions,tech_Hard Drive Interface,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Front Webcam Resolution,tech_Number of Lithium Metal Cells,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Wattage,tech_Lithium Battery Weight,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_OS,tech_RAM,tech_Wireless communication technologies,tech_Connectivity technologies,tech_GPS,tech_Special features,tech_Display technology,tech_Other display features,tech_Other camera features,tech_Form factor,tech_Battery Power Rating,tech_Whats in the box
"Lenovo IdeaPad Slim 1 AMD Ryzen 3 3250U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/2 Year Warranty/3months Game Pass/Cloud Grey/1.6Kg), 82R10049IN","33,490",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82R10049IN/dp/B0B4JRH895/ref=sr_1_817?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-817&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Lenovo,Lenovo,IdeaPad 1,Cloud Grey,Thin & Light,18 Millimeters,23.6 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 X 1080 (FHD) Pixels,36 x 23.6 x 1.8 cm; 1.6 kg,1 Lithium Polymer batteries required. (included),82R10049IN,AMD,Ryzen 3,2.6 GHz,2,8 GB,DDR4,DDR4 SDRAM,8 GB,2400 MHz,512 GB,SSD,"Headphones, Speakers","Stereo speakers, 1.5W x2, Dolby® Audio™",AMD Radeon™ Graphics,AMD,Integrated,Shared,8 GB,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1,2,1,9.6 Volts,No Optical Drive,0.92 MP,Battery Powered,Windows 11 Home,7.5 Hours,7.5 Hours,Yes,42 Watt Hours,3,"Laptop,User Manual,Power Adapter",China,1 kg 600 g,B0B4JRH895,"4.0
559 ratings
4.0 out of 5 stars","#31,854 in Computers & Accessories (See Top 100 in Computers & Accessories)
#886 in Traditional Laptops",20 June 2022,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",36 x 23.6 x 1.8 Centimeters,1 Piece,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) HP 14s 10th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel UHD Graphics),"27,499",https://www.amazon.in/Refurbished-HP-Laptop-Windows-Graphics/dp/B0DMZWBT7C/ref=sr_1_818?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-818&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,HP,HP,HP 14s,,,,,14 Inches,,1366 x 768 Pixels,,1 LR44 batteries required. (included),,Intel,Intel Core i5,1.6 GHz,1,,DDR4,,16 GB,,,SSD,,,,Intel,Integrated,Shared,,,,,,,,,,,,Windows,,,Yes,55 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 700 g,B0DMZWBT7C,"3.5
6 ratings
3.5 out of 5 stars","#46,263 in Computers & Accessories (See Top 100 in Computers & Accessories)
#155 in Renewed Store.
#1,355 in Traditional Laptops",14 November 2024,,,,1.00 count,,45 x 35 x 15 cm; 1.7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell 14 Thin & Light Laptop, Intel Core i5-1235U Processor, 8GB + 512GB SSD, 14.0"" (35.62cm) FHD AG 250 nits Display, Win 11 + MSO'21 & 15 Month McAfee, Grey, Spill-Resistant Keyboard, 1.48kg","41,216",https://www.amazon.in/Refurbished-Dell-i5-1235U-Processor-Spill-Resistant/dp/B0D7VSFXHR/ref=sr_1_819?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-819&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Dell,Dell India Pvt Ltd,Inspiron,Titan Grey,Laptop,,,14 Inches,1920 x 1080 pixel,1920x1080,,,,Intel,Core i5,4.4 GHz,1,8 GB,DDR4,,16 GB,2666 MHz,,SSD,,,,Intel,Integrated,Shared,,,Wi-Fi,,1,,,240 Volts,,,,Windows 11 Home,,,Yes,,3,"Laptop, Battery, AC Adapter, User Guide, Manuals",,1 kg 480 g,B0D7VSFXHR,,"#37,104 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,058 in Traditional Laptops",24 June 2024,,,,1 Count,Laptop,42 x 34.4 x 7.8 cm; 1.48 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 7440, Core Ultra 7 155H Processor, 16GB PDDR5X+1TB SSD, 14"" (35.52cm) 14"" 2.2K AG 300nits WVA Display/Comfortview Plus, Display, Backlit KB+FPR, Win11+MSO'21, Ice Blue, 1.60kg","97,990",https://www.amazon.in/Dell-Inspiron-Processor-35-52cm-Comfortview/dp/B0DFCLZ54Y/ref=sr_1_820?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-820&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Dell,Dell,Inspiron,"Ice Blue, 1TB SSD",Clamshell,,,14 Inches,2200 x 1280 pixels,2200 x 1280,,1 12V batteries required. (included),,Intel,Core i7,4.8 GHz,1,,Lpddr 5,,32 GB,,1 TB,SSD,,,Core Ultra 7 155H,Intel,Integrated,GDDR5X,,Integrated,,,,2,,,Not Available,,,Windows 11 Home,,,Yes,64 Watt Hours,4,Laptop | Power Adapter |User Manual,China,1 kg 600 g,B0DFCLZ54Y,"3.0
2 ratings
3.0 out of 5 stars","#45,054 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,312 in Traditional Laptops",27 August 2024,Dell India Pvt. Ltd,Dell India Pvt. Ltd.,,1 Piece,Laptop,40 x 35.4 x 6.4 cm; 1.6 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light Touchscreen HD Laptop (16 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/Laptop Cooling Pad/MS Office/WiFi/Webcam/Intel Graphics)","19,845",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Touchscreen-Graphics/dp/B0CTR3R5GK/ref=sr_1_821?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-821&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,Lenovo,Lenovo,Lenovo ThinkPad,Black,Laptop,,,14 Inches,1366 x 768,1366 x 768 Pixels,,,,Intel,Intel Core i5,2.5 GHz,1,,DDR4,,16 GB,,256 GB,SSD,Headphones,,Intel HD Graphics 620,Intel,Integrated,Shared,,,"Bluetooth, Wi-Fi",,,,,20 Volts,,,,Windows,,20 Hours,Yes,,,"Laptop, Power Cord, Battery, NewJaisa Laptop Cooling Pad",India,1 kg 610 g,B0CTR3R5GK,"3.3
9 ratings
3.3 out of 5 stars","#36,233 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,040 in Traditional Laptops",1 February 2024,,,,1.00 count,,45 x 35 x 15 cm; 1.61 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Envy x360 2-in-1 Laptop,AMD Ryzen 7 7730U,15.6-inch(39.6 cm),FHD,Touch,16GB RAM,512GB SSD,5MP Camera,Audio by B&O,Windows 11,MSO,Black,1.82 kg,15-fh0032AU","79,490",https://www.amazon.in/HP-Laptop-15-6-inch-Windows-15-fh0032AU/dp/B0D266JF6R/ref=sr_1_822?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-822&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,HP,HP,HP Envy,"Black, R7 7730U",Laptop,54.5 Centimeters,30.3 Centimeters,15.6 Inches,1920 x 1080 pixel,,6.9 x 30.3 x 54.5 cm; 1.82 kg,1 Lithium Polymer batteries required. (included),15-fh0032AU,AMD,AMD Ryzen 7,4.5 GHz,1,16 GB,LPDDR4X,,16 GB,,512 GB,SSD,Headphones,,,AMD,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,,,1,5 Volts,,,,Windows 11 Home,,,Yes,55 Watt Hours,4,"Laptop, Power Adapter, User Manual",China,1 kg 820 g,B0D266JF6R,"3.8
35 ratings
3.8 out of 5 stars","#39,805 in Computers & Accessories (See Top 100 in Computers & Accessories)
#35 in 2 in 1 Laptops",19 April 2024,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,6.9 x 30.3 x 54.5 Centimeters,,Laptop,,USB-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Renewed) Zbook 15 G3 Mobile Workstation-15.6 Inches-Core I7 (6700Hq)-32 Gb Ram-4Tb Ssd : Bluetooth : 2Gb Dedicated Graphic : Numeric Keyboard,Windows,Intel","48,500",https://www.amazon.in/Renewed-HP-ZBook-Mobile-Workstation/dp/B0912H5FJ5/ref=sr_1_823?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-823&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,HP,HP,ZBook 15 G3,Grey,Laptop,25 Millimeters,26.4 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 X 1080,38.6 x 26.4 x 2.5 cm; 2.7 kg,,Zbook 15-cr,Intel,Core i7 6700HQ,2.6 GHz,1,32 GB,,DDR4 SDRAM,,,4 GB,SSD,Headphones,,Intel HD Graphics & Nvidia 1000m,NVIDIA,Dedicated,,2 GB,,Bluetooth,Bluetooth,,,,,,,Battery Powered,Windows,,,Yes,44 Watt Hours,,,Switzerland,2 kg 700 g,B0912H5FJ5,"5.0
4 ratings
5.0 out of 5 stars","#34,975 in Computers & Accessories (See Top 100 in Computers & Accessories)
#59 in Renewed - Regional New Year
#102 in 4 star rated refurbished products
#126 in Renewed Store.",24 March 2021,,,38.6 x 26.4 x 2.5 Centimeters,,,,ATA,5400 RPM,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15, 15.6-inch (39.62 cm) FHD, Intel Pentium Gold 7505, Thin and Light Laptop, (8GB RAM/256GB SSD/Intergrated Graphics/Windows 11 Home/Indie Black/1.8 Kg), X1500EA-EJ111WS","25,890",https://www.amazon.in/ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ111WS/dp/B0CRZ5JH8X/ref=sr_1_825?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-825&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,ASUS,ASUS,Vivobook 15,15 Inch | Pentium N7505,Ultra-Portable,,,15.6 Inches,1920 x 1080 pixel,1920 x 1080,,1 Lithium Ion batteries required. (included),X1500EA-EJ111WS,Intel,Pentium,2 GHz,2,,DDR4,,24 GB,3.5 GHz,256 GB,SSD,"Headphones, Speakers",,Intel UHD Graphics,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",,2,2,,19 Volts,No Optical Storage,,,Windows 11 Home,,,Yes,37 Watt Hours,2,"Laptop, Adapter & User Manual",,1 kg 800 g,B0CRZ5JH8X,"4.0
5 ratings
4.0 out of 5 stars","#40,987 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,176 in Traditional Laptops",10 January 2024,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,Laptop,48.6 x 44.79 x 6.4 cm; 1.8 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVITA SATUS S111 NU14A1INC43PN-CS 14.1 FHD (35.81cms) Laptop (Intel Celeron N4020/4GB/128GB SSD/FHD Display/Windows 11 Home/Intel UHD Graphics), Cloud Silver","11,990",https://www.amazon.in/AVITA-SATUS-S111-NU14A1INC43PN-CS-35-81cms/dp/B09V735YV1/ref=sr_1_826?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-826&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,AVITA,Nexstgo Technologies India Private Limited,SATUS,Silver,Laptop,17 Millimeters,22 Centimeters,14.1 Inches,1920 x 1080 pixels,1920 X 1080 (FHD) Pixels,33.3 x 22 x 1.7 cm; 1.3 kg,1 Lithium Ion batteries required. (included),SATUS S111,Intel,Celeron N4020,2.8 GHz,2,4 GB,LPDDR4,DDR4 SDRAM,4 GB,,128 GB,SSD,"Headphones, Speakers",8Ω/2W 83.3/66.5 x 57.6 x 6mm(Dual speaker),Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,4 GB,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1,1,1,5 Volts,BD-ROM,,Battery Powered,Windows 11 Home,8 Hours,8 Hours,Yes,180 Milliamp Hours (mAh),2,"Laptop, AC Adapter, User Guide, Manuals, Cleaning cloth,,,,,",India,1 kg 300 g,B09V735YV1,"3.0
87 ratings
3.0 out of 5 stars","#38,986 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,108 in Traditional Laptops",10 March 2022,"Nexstgo Technologies India Private Limited, Copia Corporate Suites, Room no. 1, 405, 4th Floor, Dist. Centre Jasola Vihar, New Delhi - 110025","Nexstgo Technologies India Private Limited, Copia Corporate Suites, Room no. 1, 405, 4th Floor, Dist. Centre Jasola Vihar, New Delhi - 110025",33.3 x 22 x 1.7 Centimeters,1 Unit,Thin & Light Laptop,,Solid State,,,2 MP,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight","1,67,990",https://www.amazon.in/Apple-2024-MacBook-Laptop-chip/dp/B0DLHGHK9R/ref=sr_1_817?dib=eyJ2IjoiMSJ9.0R2Qiyq390-3AgFasfKMdWEy2ze3mT0ykpuLmic1lVYckQ-ZshGEr30mlq37PMFZqwkamcDIh0L0XBp5aZh1bzicAjbDcz3a3MzVdsAM-TPovI_irrDPmPgW3UzjNxTjnagDuItvRDUytfscCXD5H8ARtfYwV_8Wws0FPh_ahEvdTmqX1oAdAXP5n4k2HDQoMzv2VnWHvuM7pmSlhrncZRooJxSaEP434aboZ58lyMyWQzBKwDky89Zt2PVyjatJlI2wjx5GnEicLkP5iP1Fem82zgi3GhbknM1IjXE00k1nwgk20Q9RwV82lRRPaVmEo8xmnGExqCIe3K6DJs23ghofXjaYC1Sm52mz63Aa4yE.NmK5E9ueWR1JYs8MlyiRPApqIfYeDSNbLuuGISIlKWs&dib_tag=se&qid=1737640446&s=computers&sr=1-817&xpid=7kLlIrVHD4MiK,2025-01-23 19:30:56,,Apple,,,,,,,,,,,MC9L4HN/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",,1 Count,"15-inch MacBook Air (M3, 2024)",42.9 x 32.2 x 8.9 cm; 1.51 kg,,,,,,B0DLHGHK9R,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 kg 510 g,"USB-C Power Adapter, USB-C to MagSafe 3 Cable (2m) 1N, 15-inch MacBook Air with M3 chip 1N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
