title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Voltage,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Resolution,tech_RAM Size,tech_Hard Drive Interface,tech_Speaker Description,tech_Graphics Coprocessor,tech_Number of HDMI Ports,tech_Wattage,tech_Average Battery Life (in hours),tech_Computer Memory Type,tech_Audio Details,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Power Source,tech_Package Dimensions,tech_Optical Drive Type,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Compatible Devices,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Aspect Ratio,tech_Audio Output Type,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Wireless Type,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Device type,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Lithium Battery Weight,tech_Memory Clock Speed,tech_Number of Lithium Metal Cells,tech_Front Webcam Resolution,tech_Average Battery Standby Life (in hours),tech_Notebook Display Technology,tech_Number of Ethernet Ports,tech_Number of Microphone Ports,tech_Battery Description,tech_Number of Audio-out Ports
"HP OMEN, AMD Ryzen 7 7840HS, 8GB NVIDIA RTX 4060, 32GB DDR5, 1TB SSD, (Win 11, Office 21, Black, 2.37kg), 165Hz, 7ms, IPS, 16.1-inch(40.9cm), Gaming Laptop, Tempest Cooling, RGB KB, xd0017AX","1,25,990",https://www.amazon.in/HP-RyzenTM-16-1inch-Anti-Glare-16-xd0017AX/dp/B0D6BFNSB5/ref=sr_1_961?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-961&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,HP,HP Laptop,Black,Laptop,59.5 Centimeters,36.2 Centimeters,40.9 Centimetres,1920 x 1080 pixel,7.2 x 36.2 x 59.5 cm; 4.26 kg,1 Lithium Polymer batteries required. (included),A11RTPA,AMD,AMD Ryzen 7,5.1 GHz,1,DDR5,32 GB,1 TB,SSD,NVIDIA,Dedicated,DDR5 SDRAM,8 GB,PCI Express,"Bluetooth, Wi-Fi",5 Volts,Windows 11 Home,Yes,83 Watt Hours,6,"Laptop, Charger, User Manual",India,4 kg 260 g,B0D6BFNSB5,"3.0
4 ratings
3.0 out of 5 stars","#54,630 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,636 in Traditional Laptops",6 June 2024,"SG69 - Compal,,NO. 15, THIRD AVENUE, A ZONE, KUNSHAN COMPREHENSIVE FREETRADE ZONE,,KUNSHAN, JIANGSU, CHINA","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",7.2 x 36.2 x 59.5 Centimeters,1 Count,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Envy x360 AI Laptop, Intel Core Ultra 7 155U, 12 Tops,16GB LPDDR5, 512GB SSD (Win11,Office 21,Silver,1.39kg) Touchscreen, IPS, WUXGA, 14-inch(35.6cm), Intel Arc Graphics, 5MP IR Camera, fc0106TU","1,11,990",https://www.amazon.in/HP-Enhanced-14-inch-Shutter-fc0106TU/dp/B0CWFF617S/ref=sr_1_962?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-962&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,HP,HP,Hp Envy X360,Silver,laptop,38.2 Centimeters,27.8 Centimeters,14 Inches,1920 x 1200 pixels,10.2 x 27.8 x 38.2 cm; 2.7 kg,1 Lithium Ion batteries required. (included),A00PQPA,Intel,Others,4.8 GHz,1,Lpddr 5,16 GB,512 GB,SSD,Intel,Integrated,DDR5 SDRAM,,Integrated,Wi-Fi,,Windows 11 Home,Yes,59 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,2 kg 700 g,B0CWFF617S,"1.6
4 ratings
1.6 out of 5 stars","#53,465 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,600 in Traditional Laptops",21 March 2024,"SG69 - Compal NO. 15, THIRD AVENUE, A ZONE, KUNSHAN COMPREHENSIVE FREETRADE ZONE, KUNSHAN, JIANGSU, CHINA","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",10.2 x 27.8 x 38.2 Centimeters,1 Count,Laptop,1920 x 1200 Pixels,16,Solid State,Audio by Poly Studio; Dual speakers,Intel,1,59 Watt Hours,12 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOLINHAM 15.6 inch Windows 11 Pro Laptop, 12GB LPDDR4 512GB SSD Notebook, 12th Gen Alder Lake-N100(Up to 3.4GHz), FHD(1920x1080) 16:9 IPS Laptops, 4K Video, 2.4G/5G WiFi, BT4.2, 7.6V/6500mAh","42,999",https://www.amazon.in/FOLINHAM-Windows-Notebook-Lake-N100-1920x1080/dp/B0D319J1K7/ref=sr_1_963?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-963&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,FOLINHAM,FOLINHAM,D1520,Grizzly,Convertible,0.74 Inches,8.25 Inches,15.6 Inches,1920 x 1080 pixels,32.51 x 20.96 x 1.88 cm; 1.3 kg,1 Lithium Polymer batteries required. (included),D1520,Intel,Celeron,3.4 GHz,1,N100,12 GB,512 GB,SSD,Intel,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,Windows 11 Pro,Yes,38 Watt Hours,1,"1 x User Guide, 1 x Laptop Computer, 1 x US Charger",,1 kg 300 g,B0D319J1K7,"5.0
3 ratings
5.0 out of 5 stars","#52,651 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,578 in Traditional Laptops",12 August 2024,,,32.5 x 21 x 1.9 Centimeters,,,1920 x 1080 pixels,,Solid State,Stereo speakers,,1,,7 Hours,DDR4 SDRAM,Speakers,2,2,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Inspiron 5445 Thin & Light Laptop, AMD R5-8540U Processor, 16GB DDR5 + 512GB SSD, 14"" (35.52cm) FHD+AG 250nits Display, Backlit KB, Win 11 + MSO'21, 15 Months McAfee, Ice Blue, 1.61kg","60,490",https://www.amazon.in/Dell-Inspiron-R5-8540U-Processor-35-52cm/dp/B0D83JLF5W/ref=sr_1_964?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-964&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Dell,Dell India Pvt. Ltd.,Inspiron 5445,Ice Blue,,,,14 Inches,,,1 Lithium Ion batteries required. (included),OIN5445352201RINU1,Intel,Ryzen 5,4.9 GHz,1,DDR5,16 GB,,SSD,Intel,Integrated,DDR5 SDRAM,,Integrated,,,Windows 11 Home,Yes,54 Watt Hours,4,Laptop | Adapter | User Manual,China,1 kg 610 g,B0D83JLF5W,"5.0
1 rating
5.0 out of 5 stars","#50,678 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,497 in Traditional Laptops",26 June 2024,Dell India Pvt. Ltd.,Dell India Pvt. Ltd.,,1 Piece,Laptop,,,,,,,,,,,,2,,42.79 x 37.1 x 7.5 cm; 1.61 kg,No Optical Storage Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire 5 Gaming Intel Core i5 12th gen (12-Cores) (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A515-57G/ Gaming Laptop (15.6 inch, Steel Gray 1.8 Kg","57,799",https://www.amazon.in/Acer-12-Cores-Windows-Graphics-A515-57G/dp/B0B45RSRQL/ref=sr_1_965?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-965&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Acer,Acer,,,Laptop,,,15.6 Inches,1920 x 1080 pixels,23.8 x 36.3 x 1.8 cm; 1.8 kg,1 Lithium Ion batteries required. (included),NX.K9TSI.002,Intel,Core i5,3.3 GHz,1,,,512 GB,SSD,,Dedicated,GDDR6,4 GB,AGP,,,Windows 11 Home,,,,,China,1 kg 800 g,B0B45RSRQL,"3.9
324 ratings
3.9 out of 5 stars","#175,699 in Electronics (See Top 100 in Electronics)
#1,145 in Traditional Laptops",27 June 2022,"COMPAL Electronics (CHONGQING) Co., Ltd. / No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",23.8 x 36.3 x 1.8 Centimeters,1 Count,Laptops,1920 x 1080 Pixels,8 GB,USB,,NVIDIA GeForce RTX 2050,,50 Watt Hours,,DDR4 SDRAM,,,,Battery Powered,,,NX.K9TSI.002,Aspire 5 Gaming,2022,512 GB,Yes,512 GB,8 GB,32 GB,DDR4,Intel Core i5-1240P,USB,Laptop,Support CNVi interface,intel,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",1,Webcam,LED,FHD,16:9,Speakers,Yes,Yes,Lithium Ion,802.11ax,60,3,3,Chiclet,"Bluetooth, Ethernet",Keyboard,Gaming Laptop,,,,,,,,,,,,
"(Refurbished) Dell Latitude E5480 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)","16,645",https://www.amazon.in/Refurbished-Dell-Latitude-Bluetooth-Integrated/dp/B0C1K7ZHBD/ref=sr_1_966?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-966&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Dell,Dell,Dell Latitude-cr,black,Laptop,,,14 Inches,1366 x 768,,1 Lithium Ion batteries required. (included),Dell-5480-i5-8-256-cr,Intel,Intel Core i5,2.5 GHz,1,DDR4,16 GB,256 GB,SSD,Intel,Integrated,DDR4 SDRAM,,Integrated,"Bluetooth, Wi-Fi",240 Volts,Windows 11,Yes,55 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 700 g,B0C1K7ZHBD,"3.3
43 ratings
3.3 out of 5 stars","#11,115 in Computers & Accessories (See Top 100 in Computers & Accessories)
#359 in Traditional Laptops",5 April 2023,,,,1.00 count,dell latitude,1366 x 768 Pixels,8 GB,Solid State,Integrated high quality speakers,Intel® HD Graphics 620,1,,1.5 Hours,DDR4 SDRAM,Headphones,,3,ac,45.8 x 36.8 x 10 cm; 1.7 kg,No Optical Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,Windows,50 Grams,,,,,,,,,
"MSI Stealth 18 AI Studio,Intel 1st. Gen Ultra 9 185H,Built-in AI,46CM 16:10 UHD+ MiniLED120Hz Gaming Laptop(32GB/2TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4090/Midnight Black/2.89Kg),A1VIG-022IN","3,99,390",https://www.amazon.in/MSI-Stealth-Studio-Intel-Built/dp/B0CXDQHR1Y/ref=sr_1_967?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-967&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,MSI,MSI,Stealth 18 AI Studio,Midnight Black,Laptop,53.2 Centimeters,38.7 Centimeters,46 Centimetres,3840 x 2400 pixel,18.6 x 38.7 x 53.2 cm; 3 kg,1 Lithium Polymer batteries required. (included),,Intel,Core i9,1 GHz,1,DDR5,96 GB,,SSD,NVIDIA,Dedicated,GDDR6,16 GB,PCI Express,Wi-Fi,230 Volts,Windows 11 Home,Yes,99.9 Watt Hours,4,Laptop,China,3 kg,B0CXDQHR1Y,"3.0
2 ratings
3.0 out of 5 stars","#48,527 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,434 in Traditional Laptops",7 March 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",18.6 x 38.7 x 53.2 Centimeters,1 Count,Laptop,,32,,,NVIDIA GeForce RTX 4090,,,,,Headphones,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Refurbished Inspiron 7420 2in1 Touch Laptop,12th Gen Intel Core i3-1215U, 8GB/256GB SSD/14.0"" (35.56Cm) FHD+ WVA 250 nits/Backlit KB + FPR/Win 11 + MSO'21/15 Month McAfee/Platinum Silver/1.57KG","51,990",https://www.amazon.in/Dell-Inspiron-i3-1215U-35-56Cms-Platinum/dp/B0BQJ8NZ5W/ref=sr_1_968?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-968&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Dell,Dell India Pvt Ltd,Inspiron,Platinum Silver,Convertible,39.5 Centimeters,34.7 Centimeters,14 Inches,2220*1080,7.6 x 34.7 x 39.5 cm; 2.47 kg,1 Lithium Ion batteries required. (included),New Inspiron 14 2-in-1,Intel,Core i3 Family,0.9 GHz,1,DDR4,32 GB,256 GB,SSD,Intel,Integrated,Shared,,Integrated,Wi-Fi,240 Volts,Windows 11 Home,Yes,,4,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,2 kg 470 g,B0BQJ8NZ5W,"4.2
70 ratings
4.2 out of 5 stars","#44,245 in Computers & Accessories (See Top 100 in Computers & Accessories)
#150 in Renewed Store.
#1,293 in Traditional Laptops",19 December 2022,Dell India Pvt Ltd,Dell India Pvt Ltd,7.6 x 34.7 x 39.5 Centimeters,1 Count,2in1 Laptop,,8 GB,,,INTEGRATED,,,,,Headphones,,3,Battery Powered,,CD-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200 MHz,,,,,,,,
"AVITA Laptop PURA S101 14"" INCH CELERON 8GB RAM, 256GB SSD","16,490",https://www.amazon.in/AVITA-Laptop-PURA-CELERON-256GB/dp/B0CP9NVWNJ/ref=sr_1_969?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-969&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,AVITA,AVITA,S101,"Pink,",Netbook,40.6 Centimeters,32.4 Centimeters,14 Inches,1920 x 1080 pixels,9.4 x 32.4 x 40.6 cm; 1.5 kg,3 Lithium Ion batteries required. (included),AE14A1INC554-PKP,Intel,Celeron N4020,2.8 GHz,1,DDR4,8 GB,256 GB,SSD,Intel,Integrated,GDDR4,,Integrated,Bluetooth,7.4 Volts,Windows 11 Home,Yes,37 Watt Hours,1,"Laptop, Power Adapter, User Manual,,,,,,",India,1 kg 500 g,B0CP9NVWNJ,,"#57,289 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,731 in Traditional Laptops",1 December 2023,"SUVIDA TECHNOLOGIES INDIA LLP 2-40/5, Harsha toyota, Kothaguda, Kondapur, Hyderabad, 500084, India.","SUVIDA TECHNOLOGIES INDIA LLP 2-40/5, Harsha toyota, Kothaguda, Kondapur, Hyderabad, 500084, India.",9.4 x 32.4 x 40.6 Centimeters,,"LAPTOP, CHARGER",1920 x 1080 Pixels Per Inch,8 GB,eSATA,STEREO SPEAKERS,,1,,6 Hours,DDR4 SDRAM,"Headphones, Speakers",1,1,,,no,,,,,,,,,,,,,,,,,,,,,,,,,Bluetooth,,,,,,,,5400 RPM,,0.8 Grams,,1,,,,,,,
"Acer Aspire 3 Thin and Light Laptop AMD Ryzen 5 7520U Quad-Core Processor (8 GB/ 512 GB SSD/Windows 11 Home/MS Office) Pure Silver, A315-24, 39.6 cm (15.6 inches) FHD Display / 1.78 Kg","33,900",https://www.amazon.in/Acer-Quad-Core-Processor-Windows-A315-24/dp/B0BT7ZXWDZ/ref=sr_1_970?dib=eyJ2IjoiMSJ9.89t2ROOgzqzp1-GoEyf_lL3bKCyg8CHhO1oNcP3rTn0lVwgVzrDtVlfFsx_sfd1RjyrZnR7cPCE-_qWfKxZr6DTkTAnQB7DWzW6-yG2Tog19wHNoP251gZBc0DHDijD58sVyGz5afR3kFlC3--lqjSky3FGgEVE21ozKv6ukwDaKnpsxJrVNQVOnZXH15-4Xx32392M2-7cuvedVbpfoFM-kVaVNBdyni4ewIPXA7ZXsu28r6i4rRe-rFgKKLwnlkWvESAqSqT5d72NvlpkJqarLjpfitpZOAJ-Xo2Yg3Z2rF2tGUWqDTA4e_R6O1h0ga3Mf4mh2j8xa4BmDWneA-o8JQj1U0TLpyxlzsa-p5D8.9gihtqABX0ymxTWqPqgmPVh2NAUp0H34eKFJ8jj1g8g&dib_tag=se&qid=1737655238&s=computers&sr=1-970&xpid=RYLmJOKVsJ12O,2025-01-23 23:44:19,Acer,acer,aspire 3,silver,laptop,19 Millimeters,36.2 Centimeters,15.6 Inches,1920 x 1080 pixel,23.7 x 36.2 x 1.9 cm; 1.78 kg,1 Lithium Ion batteries required. (included),aspire 3,AMD,Ryzen 5,2.8 GHz,1,Lpddr 5,8 GB,512 GB,SSD,AMD,Integrated,DRAM,,Integrated,Wi-Fi,,Windows 11 Home,Yes,,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",,1 kg 780 g,B0BT7ZXWDZ,"4.1
5 ratings
4.1 out of 5 stars","#55,061 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,647 in Traditional Laptops",27 January 2023,"COMPAL Electronics (CHONGQING) Co., Ltd. / No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13, Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",23.7 x 36.2 x 1.9 Centimeters,1 Count,laptop,1920 x 1080 Pixels,8 GB,,,,,,,,Speakers,,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
