title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Package Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Lithium Battery Weight,tech_Number of Lithium Ion Cells,tech_Number of Lithium Metal Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Net Quantity,info_Generic Name,tech_Item Height,tech_Item Width,tech_Product Dimensions,tech_Hard Drive Size,tech_Optical Drive Type,info_Customer Reviews,info_Item Dimensions LxWxH,tech_RAM Size,tech_Computer Memory Type,tech_Memory Clock Speed,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Average Battery Life (in hours),tech_Front Webcam Resolution,tech_Power Source,tech_Number of USB 2.0 Ports,tech_Number of HDMI Ports,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Platform,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Wattage,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device type,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Hard Disk Rotational Speed,tech_Average Battery Standby Life (in hours)
"Acer Swift Go 14 Built-in AI PC Premium Laptop Intel Core Ultra 7 155H (14-inch OLED WQXGA+/16GB LPDDR5X/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win11/MSO) SFG14-73, Frost Blue, 1.3 Kg","89,990",https://www.amazon.in/Acer-Premium-14-inch-Graphics-SFG14-73/dp/B0DJ2KRMCN/ref=sr_1_289?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-289&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Acer,Acer,Swift Go 14,Blue,Laptop,14 Inches,2880 x 1800 pixels,2880 x 1800 Pixels,52.7 x 41 x 9.8 cm; 1.3 kg,1 Lithium Ion batteries required. (included),SFG14-73,Intel,Unknown,1.4 GHz,1,Lpddr 5,16 GB,SSD,Solid State,Speakers,Intel,Integrated,DRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,65 Watt Hours,0.5 Grams,3,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,1 kg 300 g,B0DJ2KRMCN,"#15,085 in Computers & Accessories (See Top 100 in Computers & Accessories)
#446 in Traditional Laptops",25 September 2024,"COMPAL Electronics (CHONGQING) Co., Ltd. / No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",1 Count,laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkbook 15 G5 AMD Ryzen 3 15.6"" FHD IPS Antiglare 300 NITS Thin and Light Laptop (8GB Ram/512GB SSD/Windows 11 Home/Fpr/Mineral Grey/1 Year Onsite/1.7 Kg), 21JFA02RIN","34,990",https://www.amazon.in/Lenovo-Thinkbook-Antiglare-Windows-21Jfa02Rin/dp/B0CZ7BJ6YY/ref=sr_1_290?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-290&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Lenovo,Lenovo,ThinkBook 15 G5,Mineral Grey,Laptop,15.6 Inches,,,,1 Lithium Polymer batteries required. (included),,AMD,Ryzen 3,2.3 GHz,1,DDR4,16 GB,SSD,,Headphones,AMD,Integrated,Shared,Integrated,Wi-Fi,Windows 11 Home,Yes,45 Watt Hours,,3,,"Laptop, User manual, Adapter",,2 kg 540 g,B0CZ7BJ6YY,"#6,159 in Computers & Accessories (See Top 100 in Computers & Accessories)
#200 in Traditional Laptops",27 March 2024,"Compal Information Technology ( KUNSHUN) co.ltd No.58 First Avenue, A Zone KUNSHAN Comprehensive Free Trade Zone, KUNSHAN, Jiangsu China","Lenovo India Pvt Ltd, RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",1 Case,Laptop,49.9 Centimeters,30.9 Centimeters,7.7 x 30.9 x 49.9 cm; 2.54 kg,8 GB,No Optical Drive,"3.4
11 ratings
3.4 out of 5 stars",7.7 x 30.9 x 49.9 Centimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS TUF Gaming F15, 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, 4GB NVIDIA RTX 3050, Gaming Laptop (16GB/1TB SSD/Win11/MSO/90WHrs Battery/Gray/2.20 Kg), FX577ZC-HN192WS","80,990",https://www.amazon.in/ASUS-15-6-inch-i7-12700H-Battery-FX577ZC-HN192WS/dp/B0CRR4RDP9/ref=sr_1_291?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-291&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,ASUS,ASUS,TUF Gaming F15,"Mecha Gray, Without Offer",Gaming Laptop,39.62 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Polymer batteries required. (included),FX577ZC-HN192WS_WO,Intel,Core i7,4.7 GHz,14,DDR4,32 GB,SSD,,"Headphones, Speakers",NVIDIA,Dedicated,GDDR6,PCI Express,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,90 Watt Hours,,4,,"Laptop, Adaptor, User Manual",China,2 kg 200 g,B0CRR4RDP9,"#7,370 in Computers & Accessories (See Top 100 in Computers & Accessories)
#249 in Traditional Laptops",26 July 2023,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veer Desai Road, Andheri (west), Mumbai 400053, India",1 Count,Gaming Laptop,42.7 Centimeters,31 Centimeters,10.5 x 31 x 42.7 cm; 2.2 kg,1 TB,No Optical Storage,"3.9
19 ratings
3.9 out of 5 stars",10.5 x 31 x 42.7 Centimeters,16,SODIMM,3200 MHz,"2-speaker system, Dolby Atmos, Hi-Res certification",NVIDIA GeForce RTX 3050,4 GB,"Bluetooth, 802.11ax",4,20 Volts (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion Aero AI Laptop, AMD Ryzen 5 8640U, 16 Tops, 16GB LPDDR5x, 512GB SSD, (Win 11, Office 21, Silver, < 1kg) 13.3-inch (33.8cm), Ultra-Light, WUXGA, AMD Radeon Graphics, 5MP Camera, bg0016AU","73,990",https://www.amazon.in/HP-Pavilion-Lightest-13-3-inch-Graphics/dp/B0D2HL64SQ/ref=sr_1_292?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-292&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,HP,HP,13-bg0016AU,Silver Ryzen 5 8640U + 16GB/512GB,Laptop,13.3 Inches,1920 x 1080 pixel,1920 x 1200,,1 Lithium Polymer batteries required. (included),A1RA6PA,AMD,Ryzen 5,4.9 GHz,1,Lpddr 5,16 GB,SSD,,Headphones,AMD,Integrated,DDR5 SDRAM,Integrated,Wi-Fi,Windows 11 Home,Yes,43 Watt Hours,,3,,"Laptop, Power Adapter, User Manual",China,1 kg 850 g,B0D2HL64SQ,"#7,677 in Computers & Accessories (See Top 100 in Computers & Accessories)
#257 in Traditional Laptops",23 April 2024,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,1 Count,Laptop,48.4 Centimeters,30 Centimeters,6.9 x 30 x 48.4 cm; 1.85 kg,512 GB,,"4.2
19 ratings
4.2 out of 5 stars",6.9 x 30 x 48.4 Centimeters,16,,,,AMD Radeon Graphics,,802.11ax,,45 Volts,11 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Envy x360, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm) FHD,Creator Laptop,16GB LPDDR5, 512GB SSD, Intel Iris Xe Graphics, 5MP IR Camera, B&O, Pen (Win 11,MSO, Black, 2.14 kg), 15-fe0027TU","85,900",https://www.amazon.in/HP-i5-1335U-15-6-inch-Graphics-15-fe0027TU/dp/B0CGDWGXGP/ref=sr_1_293?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-293&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,HP,HP,15-fe0027TU,Nightfall Black,Convertible,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,54.7 x 31.6 x 7 cm; 2.14 kg,1 Lithium Ion batteries required. (included),15-fe0027TU,Intel,Core i5,4.6 GHz,1,Lpddr 5,16 GB,SSD,,"Headphones, Speakers",Intel,Integrated,VRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,55 Watt Hours,,4,,"Laptop, Power Adapter, User Manual, Pen",,2 kg 140 g,B0CGDWGXGP,"#17,928 in Computers & Accessories (See Top 100 in Computers & Accessories)
#519 in Traditional Laptops",22 August 2023,"SG69 - Compal NO. 15, THIRD AVENUE, A ZONE, KUNSHAN COMPREHENSIVE FREETRADE ZONE, KUNSHAN, JIANGSU, CHINA","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",,Laptop,,,,512 GB,,"3.0
6 ratings
3.0 out of 5 stars",,16 GB,,,Audio by B&O,Intel Iris Xe Graphics,,,2,240 Volts,,5 MP,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) Dell Latitude 3410 10th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel UHD Graphics),"20,025",https://www.amazon.in/Refurbished-Dell-Latitude-Windows-Graphics/dp/B0D98HXK35/ref=sr_1_294?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-294&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Dell,Dell,Dell Latitude,,Laptop,14 Inches,1366 x 768,1366 x 768 Pixels,45 x 35 x 15 cm; 1.8 kg,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,1.6 GHz,1,DDR4,16 GB,SSD,,Headphones,Intel,Integrated,Shared,,Wi-Fi,Windows,Yes,55 Kilowatt Hours,,3,,"Laptop, Power Cord, Battery",,1 kg 800 g,B0D98HXK35,"#23,854 in Computers & Accessories (See Top 100 in Computers & Accessories)
#61 in 4 star rated refurbished products
#84 in Renewed Black Friday and Cyber Monday Sale
#663 in Traditional Laptops",11 July 2024,,,1.00 count,,,,,256 GB,,"3.3
14 ratings
3.3 out of 5 stars",,,,,,,,,,28 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15, Intel Core i5-1235U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB RAM/512GB SSD/Win11//Backlit Keyboard/Silver/1.7 kg), X1504ZA-NJ542WS","46,900",https://www.amazon.in/ASUS-Vivobook-i5-1235U-Keyboard-X1504ZA-NJ542WS/dp/B0CZ2XSK13/ref=sr_1_295?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-295&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,ASUS,ASUS,ASUS Vivobook,"Silver, 16GB RAM",Ultra-Portable,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,48.29 x 41.4 x 6.5 cm; 1.7 kg,1 Lithium Polymer batteries required. (included),X1504ZA-NJ542WS,Intel,Core i5,1.3 GHz,10,DDR4,24 GB,SSD,Solid State,"Headphones, Speakers",Intel,Integrated,Shared,PCI Express,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,42 Watt Hours,200 Grams,3,,"Laptop, Adapter & User Manual",,1 kg 700 g,B0CZ2XSK13,"#9,165 in Computers & Accessories (See Top 100 in Computers & Accessories)
#297 in Traditional Laptops",26 March 2024,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",1 Count,Laptop,,,,512 GB,No Optical Storage,"3.6
10 ratings
3.6 out of 5 stars",,,,3200 MHz,,Intel Iris Xe Graphics,,"Bluetooth, 802.11ax",3,19 Volts,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","25,990",https://www.amazon.in/Lenovo-Athlon-Laptop-Windows-Warranty/dp/B0872G2MPV/ref=sr_1_296?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-296&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,Lenovo,Lenovo,"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office ,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",Silver,,15.6,,1920 x 1080,,,Lenovo Laptop,AMD,Athlon X2 Dual Core 7550,2.40,1,DDR4,16 GB,SSD,PCIE x 2,Speakers,AMD,Integrated,DDR DRAM,Integrated,,Windows 11 Home,No,,,,,Keyboard,China,2 kg,B0872G2MPV,"#14,203 in Computers & Accessories (See Top 100 in Computers & Accessories)
#427 in Traditional Laptops",2 October 2024,Lenovo India Pvt Ltd,Lenovo India Pvt Ltd,,"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office ,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",0.76 Inches,9.83 Inches,36.14 x 24.97 x 1.93 cm; 2 kg,8 GB,,"5.0
2 ratings
5.0 out of 5 stars",36.1 x 25 x 1.9 Centimeters,8 GB,DDR5 RAM,3.4 GHz,,Intel HD Graphics 610,,802.11ac,1,240 Volts,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP EliteBook 840 G3 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|MS Office|WiFi|Webcam|Intel Graphics)","15,999",https://www.amazon.in/Refurbished-HP-EliteBook-Windows-Graphics/dp/B0DQ5KQ8ZS/ref=sr_1_298?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-298&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,HP,HP,HP EliteBook 840 G3,,,14 Inches,,1366 x 768 Pixels,45 x 35 x 15 cm; 1.7 kg,1 12V batteries required. (included),,Intel,Intel Core i5,2.4 GHz,1,DDR4,16 GB,SSD,,,Intel,Integrated,Shared,,,Windows,Yes,55 Watt Hours,,3,,"Laptop, Power Cord, Battery",,1 kg 700 g,B0DQ5KQ8ZS,"#17,529 in Computers & Accessories (See Top 100 in Computers & Accessories)
#30 in Refurbished Deals
#504 in Traditional Laptops",11 December 2024,,,1.00 count,,,,,256 GB,,"2.5
3 ratings
2.5 out of 5 stars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS TUF Gaming F17 (2022), 17.3""(43.94 cms) FHD 144Hz, Intel Core i5-12500H 12th Gen, RTX 3050 4GB GPU, Gaming Laptop (16GB/512GB SSD/90WHr Battery/Windows 11/Gray/2.6 Kg), FX707ZC4-HX067W","67,990",https://www.amazon.in/ASUS-i5-12500H-Battery-Windows-FX707ZC4-HX067W/dp/B0C8JJWSXP/ref=sr_1_289?dib=eyJ2IjoiMSJ9.sAOuAqUrfSUVmP18D4MZTo7cejWB9Sed5-tPwn9y8nGGcbiksYSKzBluKBDFfu8cwa7sX1CAwRAYParFFvp2xye3ef4zyFohLw-pEiIKTW2S4F0G3qsbGvK9DIzXmoHNYIuk5T5w-FfRCdP23a3g7XmL7IWaRef1NuY4cQnesezpus9j9kmLIecjPoPpIEtVAQD_XiPmMj9umxxtYgwpMZVWnyl1HHolU57zBFHjKAEoZ49Wvw3OxZzmrqfhjHDWyhlP_0MmHTzALsMhd-9pcgYncaLEvAChSPugUPVWobgfFC6WMm83QxzqKV6-ExpurAt65ZFjGR4zFbjSJwLG5mHKQGijdim8V81aBwJBu8c.uaTSEG-9rcO3bFE4ko6VDJzl9a8z_a2DtrZz1GjjovU&dib_tag=se&qid=1737562564&s=computers&sr=1-289&xpid=TXeoTC7BKWJe3,2025-01-22 22:03:09,ASUS,ASUS,,,Ultra-Portable,17.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),FX707ZC4-HX067W,Intel,Core i5,4.5 GHz,12,,,SSD,Solid State,,,Dedicated,GDDR6,PCI Express,,Windows 11 Home,,,,,,,India,2 kg 600 g,B0C8JJWSXP,"#70,301 in Electronics (See Top 100 in Electronics)
#507 in Traditional Laptops",14 July 2023,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",1 Count,Gaming Laptop,,,48.7 x 10.5 x 48.7 cm; 2.6 kg,512 GB,No Optical Storage,"3.5
98 ratings
3.5 out of 5 stars",48.7 x 10.5 x 48.7 Centimeters,16 GB,SODIMM,,,NVIDIA GeForce RTX 3050,4 GB,"Bluetooth, 802.11ax",,20 Volts,,,Battery Powered,,,,FX707ZC4-HX067W,ASUS TUF Gaming F17,2022,512 GB,2,512 GB,16 GB,32 GB,DDR4,12500H,PC,USB Type C,"HD Audio, Backlit Keyboard, Anti Glare Coating",intel,"Laptop, Adapter & User Manual",1,McAfee - Antivirus (1 Year Validity),LCD,LCD,"Headphones, Speakers",200 Watts,6 Hours,Yes,Yes,Lithium Polymer,144 Hz,4,Backlit,"Bluetooth, Wi-Fi, USB, Ethernet, HDMI",Gaming Laptop,,,,,,
