title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_RAM Size,tech_Computer Memory Type,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Package Dimensions,tech_Memory Clock Speed,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Optical Drive Type,tech_Speaker Description,tech_Rear Webcam Resolution,tech_Power Source,tech_Hardware Platform,tech_Hard Disk Rotational Speed,tech_Wireless Type,tech_Lithium Battery Weight,tech_Front Webcam Resolution,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Colour Screen,tech_Audio Output Type,tech_Video Output,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Has audio recording capabilities,tech_Supports Bluetooth Technology,tech_Average Battery Standby Life (in hours),tech_Number of Lithium Metal Cells,tech_Battery Average Life,tech_Battery Average Life Standby
"HP Chromebook x360 14, Intel Processor N200, ChromeOS, 14-inch (35.6 cm), HD, Touchscreen, 8GB LPDDR5, 128GB UFS, Intel UHD Graphics, 720p HD Camera w/Privacy Shutter (Silver, 1.37 kg), cd0012TU","40,990",https://www.amazon.in/HP-Chromebook-Processor-ChromeOS-Touchscreen/dp/B0D6296LKF/ref=sr_1_1009?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1009&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,HP,14b-cd0012TU,Chromebook x360 N200 8GB 128GB,"Laptop, Chromebook",44.8 Centimeters,30.9 Centimeters,35.6 Centimetres,1366 x 768,1280 x 720,7.1 x 30.9 x 44.8 cm; 2.12 kg,1 Lithium Polymer batteries required. (included),A95C4PA,Intel,Others,3.7 GHz,1,Lpddr 5,8 GB,SSD,Bluetooth,Intel,Integrated,GDDR5,Integrated,"Bluetooth, Wi-Fi",Chrome OS,12 Hours,Yes,47 Watt Hours,2,"Laptop, Charger, User Manual",China,2 kg 120 g,B0D6296LKF,"1.0
2 ratings
1.0 out of 5 stars","#52,196 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,553 in Traditional Laptops",4 June 2024,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,7.1 x 30.9 x 44.8 Centimeters,1 Count,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo Legion 5 Pro AMD Ryzen 7 5800H 16"" (40.64cm) WQXGA-IPS 165Hz 500Nits Gaming Laptop (16GB/512GB SSD/Win 11/Office 2021/NVIDIA RTX 3060 6GB/Alexa/3 Month Game Pass/Storm Grey/2.45Kg), 82JQ010EIN","87,541",https://www.amazon.in/Refurbished-Lenovo-40-64cm-WQXGA-IPS-82JQ010EIN/dp/B0D52KCWSB/ref=sr_1_1010?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1010&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Lenovo,Lenovo,Legion 5 Pro 16ACH6H,Storm Grey,Gaming Laptop,56.8 Centimeters,8.9 Centimeters,16 Inches,2560 x 1600 pixel,2560 x 1600 Pixels,56.8 x 8.9 x 56.8 cm; 2.45 kg,,82JQ010EIN-cr,AMD,Ryzen 7,3.2 GHz,8,DDR5,32 GB,SSD,Speakers,NVIDIA,Dedicated,Shared,,Wi-Fi,Windows 11 Home,6 Hours,Yes,80 Watt Hours,4,Laptop,,2 kg 450 g,B0D52KCWSB,,"#52,891 in Computers & Accessories (See Top 100 in Computers & Accessories)
#75 in Best Offers from Renewed
#118 in Refurbished Deals
#1,586 in Traditional Laptops",23 May 2024,,,56.8 x 8.9 x 56.8 Centimeters,1 Piece,Laptop,16 GB,DDR4 SDRAM,512 GB,PCIE x 4,NVIDIA GeForce RTX 3060,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 240/250 G9 I3-1215U /14"" HD LED Intel SVA 250N Anti-Glare Uslim (1366 X 768, 1.78 (16:9)) /RAM 8GB/SSD 512GB /Dos/ 1-1-1 with Bag/Silver Colour(7M656Pa)","32,999",https://www.amazon.in/HP-Business-Laptop-i3-1215U-7M656PA/dp/B0CWPN7D2B/ref=sr_1_1011?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1011&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,HP,HP 240/250 G9,Black,Laptop,,,14 Inches,1366 x 768 pixel,1366 x 768 Pixels,,1 Lithium Ion batteries required. (included),7M656PA,Intel,Core i3,3.4 GHz,1,DDR4,32 GB,SSD,Headphones,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,DOS,3 Hours,Yes,45 Watt Hours,3,"Adaptor, Power cable",,3 kg,B0CWPN7D2B,"1.9
4 ratings
1.9 out of 5 stars","#57,807 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,755 in Traditional Laptops",28 February 2024,HP,HP,,1 Count,Laptop,,DDR4 SDRAM,512 GB,,,8 GB,44.79 x 31.2 x 7 cm; 3 kg,2.6 GHz,1,2,1,37.2 Volts,65 Watts,NO ODD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude E5440 4th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/500 GB HDD/14"" (35.6 cm) HD Display/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics)","15,990",https://www.amazon.in/Refurbished-Dell-Latitude-Display-Graphics/dp/B0CY5J1KTK/ref=sr_1_1012?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1012&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Dell,Dell,Dell Latitude,Black,Laptop,,,14 Inches,1366 x 768,1366 x 768 Pixels,,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,1.9 GHz,1,DDR3,16 GB,HDD,Headphones,Intel,Integrated,Shared,,Wi-Fi,Windows,,Yes,2.6 Watt Hours,7,"Laptop, Power Cord, Battery",,1 kg 800 g,B0CY5J1KTK,"3.3
20 ratings
3.3 out of 5 stars","#50,521 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,489 in Traditional Laptops",15 March 2024,,,,1.00 count,,,,500 GB,,,,45 x 35 x 15 cm; 1.8 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Victus Windows 11 Home Gaming Laptop,12Th Gen Intel Core I7-12650H,4Gb RTX 3050 Gpu,15.6-Inch (39.6 Cm),75W Tgp,Fhd,IPS,144Hz,16Gb Ddr4,512Gb Ssd,Backlit Kb,B&O (Mso,Blue,2.37 Kg),Fa0188Tx","82,990",https://www.amazon.in/HP-i7-12650H-15-6-inch-Backlit-fa0188TX/dp/B0C9KCZ4YB/ref=sr_1_1013?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1013&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,HP,HP Victus,Peformance Blue,traditional clamshell,55.1 Centimeters,9.5 Centimeters,39.6 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,55.1 x 9.5 x 55.1 cm; 2.37 kg,1 Lithium Ion batteries required. (included),15-fa0188TX,Intel,Core i7,4.7 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",NVIDIA,Dedicated,GDDR6,PCI Express,Wi-Fi,Windows 11 Home,,Yes,70 Watt Hours,4,"Laptop, Power Adapter, User Manual",China,2 kg 370 g,B0C9KCZ4YB,"3.9
63 ratings
3.9 out of 5 stars","#42,877 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,236 in Traditional Laptops",27 June 2023,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",55.1 x 9.5 x 55.1 Centimeters,,Laptop,16 GB,,512 GB,,NVIDIA GeForce RTX 3050,4 GB,,,,2,,50 Volts,75 Watts,,"Audio by B&O, Dual speakers",0.92 MP,Battery Powered,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) Lenovo Thinkpad Laptop L480 Full HD Screen Intel Core i5 :: 8th Generation :: 8350u Processor :: 32 GB Ram :: 512 GB SSD :: 14 Inches Notebook Computer,"28,990",https://www.amazon.in/Refurbished-Lenovo-Thinkpad-Laptop-Screen/dp/B0C1YQ8RV8/ref=sr_1_1014?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1014&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Lenovo,Lenovo,L480,black,Laptop,0.8 Inches,9.25 Inches,14 Inches,1920 x 1080 pixels,1080p Full HD Pixels,33.02 x 23.5 x 2.03 cm; 1.7 kg,1 AAA batteries required.,L480-i5-32-512,Intel,Core i5 8250U,1.7 GHz,1,DDR4,32 GB,SSD,Headphones,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,Windows 10 Pro,,No,2.6 Watt Hours,3,"Laptop, Charger, Charger Cable",India,1 kg 700 g,B0C1YQ8RV8,"3.9
134 ratings
3.9 out of 5 stars","#43,154 in Computers & Accessories (See Top 100 in Computers & Accessories)
#59 in Top Rated Renewed Products
#71 in Renewed - Regional New Year
#134 in 4 star rated refurbished products",10 April 2023,,,33 x 23.5 x 2 Centimeters,1.00 count,,32 GB,,512 GB,USB,,32 GB,,,,2,1,,,No Optical Drive,,,Battery Powered,Windows,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP Chromebook Intel Celeron N4020 35.6cm(14 inches) Micro-Edge, Touchscreen Laptop (4GB RAM/64GB eMMC/Chrome 64/UHD Graphics,1.49kg), 14a-ca0506TU, Mineral Silver","20,048",https://www.amazon.in/HP-Chromebook-Micro-Edge-Touchscreen-14a-ca0506TU/dp/B09Z2FCKTS/ref=sr_1_1015?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1015&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,intel,Chromebook,Mineral Silver,Convertible,18 Millimeters,22 Centimeters,14 Inches,1366 x 768 pixel,1366 x 768,32.6 x 22 x 1.8 cm; 1.49 kg,,14a-ca0506TU-cr,Intel,Celeron N4020,1.1 GHz,1,LPDDR4,4 GB,SSD,Headphones,Intel,Integrated,VRAM,,"Bluetooth, Wi-Fi",Chrome OS,12 Hours,Yes,47 Watt Hours,2,"Chromebook, Battery, AC Adapter, User Guide, Manuals",,1 kg 490 g,B09Z2FCKTS,"3.4
5 ratings
3.4 out of 5 stars","#60,221 in Computers & Accessories (See Top 100 in Computers & Accessories)
#104 in Like new products by Amazon Renewed
#1,827 in Traditional Laptops",28 April 2022,,,32.6 x 22 x 1.8 Centimeters,1 Pack,laptop,4 GB,,64 GB,Solid State,Intel UHD Graphics,,,,,,1,,45 Watts,,,,Battery Powered,,,802.11a/b/g/n/ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 5400 Intel Core i5 Mobile-8th Gen -Processor, 8 GB Ram & 256 GB SSD, 14 Inches FHD 1080p Touch Screen Notebook Computer","25,800",https://www.amazon.in/Dell-Latitude-Mobile-8th-Processor-Notebook/dp/B0BVBK1Y5K/ref=sr_1_1016?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1016&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Dell,Dell,5400-i5-T,,Notebook,,,14 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,,,5400-i5-T-8-256-cr,Intel,Core i5 8250U,1.6 GHz,1,DDR4,8 GB,SSD,Speakers,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,Windows 10 Pro,3 Hours,Yes,,,"Laptop, Battery, Charger with Power Cable",,1 kg 570 g,B0BVBK1Y5K,"3.5
5 ratings
3.5 out of 5 stars","#63,520 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,951 in Traditional Laptops",9 February 2023,,,,1.00 count,,8 GB,,256 GB,,,4 GB,42.9 x 41.79 x 11.7 cm; 1.57 kg,,,2,1,,,No Optical Drive,,,Battery Powered,Windows,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHUWI CoreBook X Pro Laptop 12thGen i5-12450H Processor 15.6"" Laptop with 16GB DDR4 RAM and 512GB SSD, FHD Display, Backlit Keyboard, Windows 11, Gray, 3xUSB3.0,1xHDMI,SD Card Slot,3.5MM,Camera Switch","41,990",https://www.amazon.in/CoreBook-i5-12450H-Processor-Keyboard-3xUSB3-0/dp/B0D876WXM7/ref=sr_1_1017?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1017&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Chuwi,Chuwi Innovation Limited,CoreBook X pro i5 12th Gen,,Laptop,,,15.6 Inches,1920 x 1080 pixel,,,,CoreBook X pro i5 12th Gen,Intel,Others,4.4 GHz,8,DDR4,32 GB,SSD,Headphones,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",Windows,,,,,"CHUWI Corebook Xpro, User manual",China,1 kg 400 g,B0D876WXM7,"3.5
96 ratings
3.5 out of 5 stars","#62,495 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,920 in Traditional Laptops",27 June 2024,Chuwi Innovation Limited,"Cavitak Marketing Pvt. Ltd. 9, Vitthalbhai Patel Colony, Lakhudi, Naranpura, Ahmedabad-380014 Customer Care E-mail: services@chuwiindia.com Customer Care Contact Number: +91 95994 92151",,1.0 count,Laptop,16,,512 GB,,,,47 x 29.1 x 6.9 cm; 1.4 kg,,,3,,19 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell (Renewed) Latitude Laptop E7480 Intel Core I5-6200U Processor 6Th Gen,8 Gb Ram&256 Gb Ssd,14.1 Inches (Ultra Slim&Feather Light 1.37Kg) Notebook Computer,Windows 10 Pro","18,980",https://www.amazon.in/Refurbished-Dell-Latitude-Laptop-E7480/dp/B09KH8Q7QR/ref=sr_1_1018?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1018&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Dell,Dell,E7480,black,Notebook,2 Centimeters,23.5 Centimeters,14.1 Inches,1600x900,HD (1366 X 768) Pixels,34 x 23.5 x 2 cm; 1.37 kg,1 Lithium Ion batteries required.,E7480-i5-8-256-cr,Intel,Core i5-6260U,2.4 GHz,1,DDR4,8 GB,SSD,Speakers,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,Windows 10 Pro,,No,4.9 Watt Hours,2,"laptop, charger",India,1 kg 370 g,B09KH8Q7QR,"3.8
46 ratings
3.8 out of 5 stars","#53,410 in Computers & Accessories (See Top 100 in Computers & Accessories)
#5 in Handpicked | Amazon Renewed
#39 in Renewed Clearance Store
#160 in 4 star rated refurbished products",27 October 2021,,,34 x 23.5 x 2 Centimeters,1.00 count,,8 GB,,256 GB,,,,,,2,1,,,,No Optical Drive,,,Battery Powered,Windows,5400 RPM,Bluetooth,100 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
