title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Optical Drive Type,tech_Power Source,tech_Operating System,tech_Average Battery Standby Life (in hours),tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Hard Drive Size,tech_Graphics Card Ram Size,tech_Voltage,tech_Front Webcam Resolution,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Lithium Battery Weight,tech_Package Dimensions,tech_Memory Clock Speed,tech_Wattage,tech_Rear Webcam Resolution,tech_Number of Audio-out Ports,tech_Number of Microphone Ports
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6"" (39.62cm) FHD Anti-Glare (8GB/ 512 GB SSD/Windows 11 Home/Integrated Intel/Arctic Grey/1.65 kg),82H801LJIN","35,990",https://www.amazon.in/Lenovo-15-6-inch-Windows-Integrated-82H801LJIN/dp/B09Q96TVLZ/ref=sr_1_1297?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1297&xpid=HEK9RULj79Ur3,24-01-2025 12:22,Lenovo,Lenovo,Ideapad Slim 3 15ITL6,Arctic Grey,Thin & Light,20 Millimeters,23.7 Centimeters,15.6 Inches,1920 x 1080 pixel,1920x1080 Pixels,35.9 x 23.7 x 2 cm; 1.65 kg,1 Lithium Polymer batteries required. (included),82H801LJIN,Intel,Core i3,4.1 GHz,2,8 GB,DDR4,DDR4 SDRAM,12 GB,SSD,Serial ATA,"Headphones, Speakers","Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1,2,1,No Optical Drive,Battery Powered,Windows 11 Home,6 Hours,12 Hours,Yes,45 Watt Hours,3,"Laptop, User Manual, Power Adapter",India,1 kg 650 g,B09Q96TVLZ,"3.9
76 ratings
3.9 out of 5 stars","#57,923 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,759 in Traditional Laptops",12-Jan-22,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",35.9 x 23.7 x 2 Centimeters,1 Piece,Laptop,,,,,,,,,,,,,
"Lenovo LOQ Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS 144Hz 350Nits Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 4050 6GB Graphics/Office 2021/3 Month Game Pass/Storm Grey/2.4Kg), 82XV00F6IN","89,999",https://www.amazon.in/Lenovo-i5-12450H-350Nits-Graphics-82XV00F6IN/dp/B0CR1J1WKL/ref=sr_1_1298?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1298&xpid=HEK9RULj79Ur3,24-01-2025 12:22,Lenovo,Lenovo,LOQ 15IRH8,Storm Grey,Ultra-Portable,54.3 Centimeters,36.5 Centimeters,15.6 Inches,1920 x 1080 pixel,,8.4 x 36.5 x 54.3 cm; 2.4 kg,1 Lithium Polymer batteries required. (included),15IRH8,Intel,Intel Core i5,2 GHz,8,16,DDR5,,32 GB,SSD,,Speakers,2 x 2W speakers with Nahimic Audio & Sound Tracker,,NVDIA,Dedicated,GDDR6,PCI Express,"Bluetooth, Wi-Fi",,,4,,Not Available,,Windows 11,,6 Hours,Yes,60 Watt Hours,4,"User Guide, Laptop, Battery",China,2 kg 400 g,B0CR1J1WKL,"3.5
81 ratings
3.5 out of 5 stars","#58,056 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,767 in Traditional Laptops",27-Dec-23,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",8.4 x 36.5 x 54.3 Centimeters,1 Piece,Laptop,512 GB,6 GB,12 Volts,1080 Pixels,,,,,,,,,
HP Zbook Power G4-A /15.6(39.6 cm) FHD Display Creator Laptop AMD Ryzen 7 6800H/1TB SSD/16GB RAM/NVIDIA Quadro T600 (4 GB GDDR6 Dedicated)/Windows 11 Home/Microsoft Office 2021,"1,06,240",https://www.amazon.in/HP-Zbook-Power-Dedicated-Microsoft/dp/B0BNJ7H8CG/ref=sr_1_1300?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1300&xpid=HEK9RULj79Ur3,24-01-2025 12:22,HP,HP,HP ZHAN 99 Mobile Workstation G4,Natural Silver,Netbook,24 Millimeters,36 Centimeters,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,25.7 x 36 x 2.4 cm; 2.25 kg,1 Lithium Polymer batteries required. (included),HP Zbook Power G4-A,AMD,Ryzen 7,4.7 GHz,1,16 GB,DDR5,DDR5 RAM,16 GB,SSD,,"Headphones, Speakers",Audio by Bang & Olufsen,NVIDIA Quadro T600,AMD,Dedicated,GDDR6,Integrated,"Bluetooth, Wi-Fi",,,2,,,Battery Powered,Windows 11 Home,,,Yes,52.5 Watt Hours,3,"Laptop, charger",China,2 kg 250 g,B0BNJ7H8CG,,"#85,422 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,692 in Traditional Laptops",28-Nov-22,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,25.7 x 36 x 2.4 Centimeters,1 Count,Mobile Workstation,1 TB,4 GB,110 Volts,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop E5470 Intel Core I5 6Th Gen. - 6200U Processor, 8 Gb Ram & 128 Gb Ssd","16,320",https://www.amazon.in/Renewed-Dell-Latitude-Laptop-E5470/dp/B094BWT46K/ref=sr_1_1301?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1301&xpid=HEK9RULj79Ur3,24-01-2025 12:22,Dell,Dell,Dell Latitude E5470,black,Notebook,0.9 Inches,9 Inches,14.1 Inches,1366 x 768,HD (1366 X 768) Pixels,33.53 x 22.86 x 2.29 cm; 1.71 kg,1 Lithium Ion batteries required. (included),E5470-i5-8-128-cr,Intel,Core i5 6200U,,1,8 GB,DDR3,,,SSD,ATA,Speakers,,intel,Intel,,,,Wi-Fi,,,,,,Battery Powered,Windows 10 Pro,,,Yes,54 Watt Hours,6,,India,1 kg 710 g,B094BWT46K,"3.7
74 ratings
3.7 out of 5 stars","#59,174 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,804 in Traditional Laptops",06-May-21,,,33.5 x 22.9 x 2.3 Centimeters,,laptop,128 GB,,,,5400 RPM,Windows,54 Grams,,,,,,
"(Renewed) HP Intel Core i7 6700HQ 15.6-Inch (39.62 cms) 1920 X 1080 Laptop (16 GB/512 GB SSD/Windows/Intel HD Graphics & Nvidia 1000m/Grey/2.7 Kg), Zbook 15","34,500",https://www.amazon.in/Renewed-HP-15-6-Inch-Graphics-Zbook/dp/B0912P93PS/ref=sr_1_1302?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1302&xpid=HEK9RULj79Ur3,24-01-2025 12:22,HP,HP,Zbook 15,Grey,Laptop,25 Millimeters,26.4 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 X 1080,38.6 x 26.4 x 2.5 cm; 2.7 kg,,Zbook 15-cr,Intel,Core i7 6700HQ,2.6 GHz,1,16 GB,,DDR4 SDRAM,,SSD,ATA,Headphones,,Intel HD Graphics & Nvidia 1000m,NVIDIA,Dedicated,,,Bluetooth,Bluetooth,,,,,Battery Powered,Windows,,,Yes,44 Watt Hours,,,China,2 kg 700 g,B0912P93PS,"3.6
12 ratings
3.6 out of 5 stars","#74,562 in Computers & Accessories (See Top 100 in Computers & Accessories)
#159 in Sankranti / Pongal Store
#191 in Christmas with Amazon Renewed
#1,010 in Valentine's Day (Amazon Renewed)",24-Mar-21,,,38.6 x 26.4 x 2.5 Centimeters,,laptop,512 GB,2 GB,,,5400 RPM,Windows,,,,,,,
"MSI Modern 14 C12M, Intel 12th Gen. i3-1215U, 36CM FHD 60Hz Laptop (8GB/512 NVMe SSD/Windows 11 Home/UDH Graphics,/Urban Silver/1.4Kg), C12M-445IN","30,290",https://www.amazon.in/MSI-Modern-14-i3-1215U-C12M-445IN/dp/B0CRYCYQQT/ref=sr_1_1303?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1303&xpid=HEK9RULj79Ur3,24-01-2025 12:22,MSI,MSI,Modern 14 C12M,Urban Silver,Laptop,,,36 Centimetres,1920 x 1080 pixel,1920x1080,,1 Lithium Polymer batteries required. (included),Modern 14,Intel,Intel Core i3,3.3 GHz,1,,DDR4,DDR4 SDRAM,8 GB,SSD,PCIE x 4,"Headphones, Speakers",,UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,,2,2,1,,,Windows 11 Home,,,Yes,53.8 Watt Hours,3,"Laptop,Power Adpater,",India,1 kg 400 g,B0CRYCYQQT,"4.1
9 ratings
4.1 out of 5 stars","#72,111 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,271 in Traditional Laptops",10-Jan-24,"MICRO-STAR INTERNATIONAL CO., LTDNo.88, East Qianjin Road Kunshan City Jiangsu China","MICRO-STAR INTERNATIONAL CO., LTDNo.88, East Qianjin Road Kunshan City Jiangsu China",,1 count,Laptop,512 GB,,,,,,,42.9 x 29.4 x 7.4 cm; 1.4 kg,3200 MHz,,,,
"HP Pavilion x360, 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, (Win11, Office21, Silver,1.41 kg), Touchscreen, IPS, 14-inch (35.6cm), FHD Laptop, Iris Xe, 5MP Camera, Backlit KB, Pen, ek0084TU","77,900",https://www.amazon.in/HP-Pavilion-Micro-Edge-Multitouch-Enabled-14-ek0084TU/dp/B0B58TQVB5/ref=sr_1_1304?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1304&xpid=HEK9RULj79Ur3,24-01-2025 12:22,HP,HP,14-ek0084TU,Silver,Laptop,17 Millimeters,21.6 Centimeters,14 Inches,1920 x 1080 pixel,1920 X 1080 (FHD) Pixels,32.5 x 21.6 x 1.7 cm; 1.41 kg,1 Lithium Ion batteries required. (included),14-ek0084TU,Intel,Intel Core i5,4.4 GHz,1,8 GB,DDR4,,,SSD,Solid State,"Headphones, Speakers",Audio by B&O; Dual Speakers,Intel Iris Xe Graphics,Intel,Integrated,,Integrated,"Bluetooth, Wi-Fi",,,2,1,,,Windows 11 Home,,10.15 Hours,Yes,43 Watt Hours,3,"Laptop, Power Adapter",China,1 kg 410 g,B0B58TQVB5,"3.9
51 ratings
3.9 out of 5 stars","#58,519 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,788 in Traditional Laptops",28-Jun-22,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,32.5 x 21.6 x 1.7 Centimeters,1 Unit,Laptop,512 GB,8 GB,240 Volts,,,,,,,,,,
Lenovo V14-IGL Laptop Intel Celeron N4020/4GB DDR4 RAM/256GB SSD/DOS/14.0 HD/Intel UHD Graphics 600/1 Year Warranty,"28,990",https://www.amazon.in/Lenovo-V14-IGL-Celeron-Graphics-Warranty/dp/B096W32J51/ref=sr_1_1305?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1305&xpid=HEK9RULj79Ur3,24-01-2025 12:22,Lenovo,Lenovo,V14,Silver,laptop,19.9 Millimeters,32.7 Centimeters,14 Inches,1024 x 768 pixels,1024 x 768 Pixels,24.1 x 32.71 x 1.99 cm; 1.6 kg,1 Lithium Polymer batteries required. (included),82C40185PB,Intel,Celeron N4020,3.2 GHz,2,8 GB,LPDDR4,DDR4 SDRAM,4 GB,SSD,Solid State,Headphones,,Intel UHD Graphics 600,Intel,Integrated,DDR4 SDRAM,Integrated,Bluetooth,802.11ac,1,1,,,,DOS,,6 Hours,Yes,35 Watt Hours,3,"Adaptor, LAPTOP, Manual",China,1 kg 600 g,B096W32J51,"3.6
29 ratings
3.6 out of 5 stars","#58,613 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,793 in Traditional Laptops",09-Feb-23,Lenovo,Lenovo,24.1 x 32.7 x 2 Centimeters,1 Set,Lenovo V14-IGL,256 GB,8 GB,,,5400 RPM,,,,2666 MHz,65 Watts,,,
"(Refurbished) HP 15s, Ryzen 5-5500U, 16GB RAM/512GB SSD 15.6-inches(39.6 cm) FHD, Micro-Edge, Anti-Glare","36,497",https://www.amazon.in/Renewed-HP-15-6-inches-Micro-Edge-Anti-Glare/dp/B0BRJ17YMC/ref=sr_1_1297?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1297&xpid=HEK9RULj79Ur3,24-01-2025 12:22,HP,amd,15s-eq2182AU,Natural Silver,Laptop,18 Millimeters,24.2 Centimeters,39.6 Centimetres,1920 x 1080 pixel,1280 x 720 Pixels,35.8 x 24.2 x 1.8 cm; 1.69 kg,,15s-eq2182AU-cr,AMD,AMD Ryzen 5 5500U,4 GHz,1,16 GB,DDR4,,16 GB,SSD,Solid State,"Headphones, Speakers",,AMD Radeon R5,AMD,Integrated,VRAM,,"Bluetooth, Miracast",,2,,1,,ac,Windows 11 Home,,3 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter",,1 kg 690 g,B0BRJ17YMC,"3.8
3 ratings
3.8 out of 5 stars","#76,661 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,441 in Traditional Laptops",02-Jan-23,,,35.8 x 24.2 x 1.8 Centimeters,1 Pack,Laptop,512 GB,,,,,,,,,,,,
"HP 15 AMD Ryzen 5 4500U Processor 15.6 inches(39.6cm) FHD Laptop (8GB/256GB/Windows 10 Home/MS Office/Natural Silver/1.69Kg), 15s-ey1004AU","46,990",https://www.amazon.in/HP-Processor-15-6-inch-Windows-15s-ey1004AU/dp/B092JLRFS5/ref=sr_1_1298?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1298&xpid=HEK9RULj79Ur3,24-01-2025 12:22,HP,HP,HP Laptop 15s-ey1004AU,Silver,Laptop,18 Millimeters,24.2 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,35.8 x 24.2 x 1.8 cm; 2.57 kg,1 Lithium Ion batteries required. (included),15s-ey1004AU,AMD,Ryzen 5,2.3 GHz,1,8 GB,DDR4,DDR4 SDRAM,16 GB,SSD,,Headphones,,AMD Radeon Vega 8,AMD,Integrated,VRAM,Integrated,Wi-Fi,5 GHz Radio Frequency,,2,1,No Optical Drive,Battery Powered,Windows 10 Home,,4 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter",China,2 kg 570 g,B092JLRFS5,"4.2
268 ratings
4.2 out of 5 stars","#59,015 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,803 in Traditional Laptops",21-Mar-21,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,35.8 x 24.2 x 1.8 Centimeters,1 count,Thin & Light Laptop,256 GB,,,,,,,,2666 MHz,,0.92 MP,,
